sampleID,Mouse_ID,Genotype,Sex,Injury,Treatment,Timepoint,Project,Acetate,Propionate,Butyrate,Total_SCFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villapol_3_812,812,HEMI,M,TBI,FMT,3dpi,FMT-AD,1.506883481,3.876767725,7.614150669,16.88773282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villapol_3_813,813,HEMI,M,TBI,FMT,3dpi,FMT-AD,1.542004049,4.327628856,7.679574173,17.84990778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villapol_3_814,814,HEMI,M,TBI,FMT,3dpi,FMT-AD,1.416253482,4.198174535,7.802113838,17.90038659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villapol_3_815,815,HEMI,M,TBI,Veh,3dpi,FMT-AD,1.737113227,4.148917818,8.858969884,15.5107244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villapol_3_816,816,HEMI,M,TBI,Veh,3dpi,FMT-AD,1.696890562,4.536985122,8.484067254,16.30990719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villapol_3_817,817,HEMI,M,TBI,Veh,3dpi,FMT-AD,1.738197904,3.95521645,7.571376561,14.55521032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villapol_3_818,818,HEMI,M,TBI,Veh,3dpi,FMT-AD,1.477705482,4.262593745,7.759083691,18.40655368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villapol_3_819,819,HEMI,M,Sham,FMT,3dpi,FMT-AD,1.970856479,4.776575827,7.975694714,18.69065275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villapol_3_820,820,HEMI,M,Sham,FMT,3dpi,FMT-AD,1.595488027,4.261596741,8.293062372,18.33413877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villapol_3_821,821,HEMI,M,Sham,FMT,3dpi,FMT-AD,1.786883403,4.348052428,6.60709951,19.6296308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villapol_3_822,822,HEMI,M,Sham,FMT,3dpi,FMT-AD,1.633670147,4.661101147,9.124740018,18.99017323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villapol_3_823,823,HEMI,M,Sham,Veh,3dpi,FMT-AD,1.615629565,4.237851141,7.960748425,18.28177685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villapol_3_824,824,HEMI,M,Sham,Veh,3dpi,FMT-AD,1.556685094,4.293518328,8.34592358,21.03222139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villapol_3_825,825,HEMI,M,Sham,Veh,3dpi,FMT-AD,1.95073458,3.792138227,7.654641995,17.91764223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villapol_3_826,826,HEMI,M,Sham,Veh,3dpi,FMT-AD,1.736551507,3.780622857,7.711062605,18.22071675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villapol_3_827,827,HEMI,F,TBI,FMT,3dpi,FMT-AD,1.588801267,4.348024322,8.618684073,19.13481419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villapol_3_828,828,HEMI,F,TBI,FMT,3dpi,FMT-AD,1.731380678,4.655343563,7.453088951,17.02989393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villapol_3_829,829,HEMI,F,TBI,FMT,3dpi,FMT-AD,1.921792569,4.325521825,7.66470431,19.83299972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villapol_3_830,830,HEMI,F,TBI,FMT,3dpi,FMT-AD,1.818170056,3.6120252,8.841761432,18.8331474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villapol_3_831,831,HEMI,F,TBI,FMT,3dpi,FMT-AD,1.501371851,4.502416234,8.216983118,19.51768033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villapol_3_832,832,HEMI,F,TBI,Veh,3dpi,FMT-AD,1.636407877,4.960970106,8.032084211,19.36266474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
