"Df"	"SumOfSqs"	"R2"	"F"	"Pr(>F)"
"Timepoint"	2	0.319946698699628	0.302408674529127	4.55179267089153	0.004
"Residual"	21	0.738047749369063	0.697591325470873	NA	NA
"Total"	23	1.05799444806869	1	NA	NA
