"Df"	"SumOfSqs"	"R2"	"F"	"Pr(>F)"
"Timepoint"	2	0.0824489419505532	0.127054912511769	1.45547428277936	0.182
"Residual"	20	0.566474742467519	0.87294508748823	NA	NA
"Total"	22	0.648923684418072	1	NA	NA
