"Df"	"SumOfSqs"	"R2"	"F"	"Pr(>F)"
"Timepoint"	2	0.741471742122633	0.470213513902967	11.9819636858903	0.001
"Residual"	27	0.835411355022131	0.529786486097033	NA	NA
"Total"	29	1.57688309714476	1	NA	NA
