"Df"	"SumOfSqs"	"R2"	"F"	"Pr(>F)"
"Timepoint"	2	0.0481865974040067	0.0568118507983151	0.632455394914798	0.626
"Residual"	21	0.799992026015101	0.943188149201684	NA	NA
"Total"	23	0.848178623419108	1	NA	NA
